tasa_incidencia;prevalencia_tabaquismo;contaminacion_aire;acceso_tac;espera_diagnostico;mortalidad_temprana;exposicion_ocupacional;cobertura_salud;phi
185;32.5;28.5;78.3;45;22.5;15.2;85.3;0.6486486486486487
210;38.2;24.2;65.4;58;28.3;18.7;72.6;0.8378378378378378
195;35.8;26.8;70.2;52;26.1;16.5;78.4;0.7635135135135135
155;26.4;18.5;92.1;28;16.8;8.4;94.2;0.0810810810810811
145;24.8;19.2;88.7;31;15.9;7.8;91.8;0.0
165;28.7;21.4;85.3;35;19.4;12.3;88.7;0.2162162162162162
190;33.5;23.7;72.8;48;24.7;14.8;80.3;0.5
205;36.8;25.3;68.5;55;27.5;17.3;75.9;0.8175675675675678
180;31.2;22.8;75.6;42;21.8;13.9;83.1;0.3378378378378379
200;34.9;27.1;67.9;51;25.6;16.8;77.5;0.7027027027027033
188;34.2;26.5;71.3;49;23.9;16.1;79.4;0.581081081081081
175;30.8;22.3;76.8;40;21.2;14.3;82.7;0.2702702702702703
160;27.5;19.8;86.9;33;18.1;10.5;89.6;0.1351351351351351
178;32.1;23.1;74.2;44;22.8;15.7;81.9;0.4054054054054054
192;35.5;24.9;69.7;50;25.3;17.0;76.8;0.6081081081081081
198;36.2;25.7;68.1;53;26.7;17.5;75.2;0.7432432432432428
215;39.5;29.3;62.4;61;29.8;19.2;68.9;1.0
205;37.1;26.8;66.8;56;27.9;18.3;73.5;0.8648648648648649
150;25.2;17.9;93.5;26;15.3;7.2;95.1;0.0
168;29.3;20.5;83.7;38;19.9;11.8;87.4;0.2162162162162162
185;32.5;28.5;78.3;45;22.5;15.2;85.3;0.6486486486486487
210;38.2;24.2;65.4;58;28.3;18.7;72.6;0.8378378378378378
195;35.8;26.8;70.2;52;26.1;16.5;78.4;0.7635135135135135
155;26.4;18.5;92.1;28;16.8;8.4;94.2;0.0810810810810811
145;24.8;19.2;88.7;31;15.9;7.8;91.8;0.0
165;28.7;21.4;85.3;35;19.4;12.3;88.7;0.2162162162162162
